sequence,source,destination,domain,length,info
35,65.245.204.143,219.48.230.108,csmonitor.com,1199,93d6382648e6268bbc2537e1887b74fbd2c4ae897547229b1d16cbeaa59808f8
11,135.242.139.133,23.138.252.32,sohu.com,184,38514430f592d87d15f57f2a1ff596c5d1034b285468ff85a9359223642005b3
48,41.74.197.95,179.254.39.164,go.com,1090,81531f519dd04359699776ead38047c3d6a8d2d17a2b1788aca6873aba6802f6
66,11.135.89.218,213.52.95.207,seesaa.net,50,f0811b18bef8d14a9c762f02ba4b10d3650700774c09b8ab2326363c32a21cfe
96,137.204.218.124,221.87.195.223,patch.com,690,0b69fc8e35ea5e2bdf750161d0448fd48b9d3d157527831a1e99a4f65613cff0
76,111.246.74.212,57.5.46.95,noaa.gov,578,689f1fdf7d708ba0ca718cd123e2fb4c63746bf178cd270a0a1e1f79d434a43d
56,69.31.196.31,159.134.50.82,merriam-webster.com,997,49cb58b5fb6a18833bc03674847648e0ceeed3e7e1351c75e43267ecc000cbf6
55,112.99.126.30,85.220.8.80,infoseek.co.jp,410,ffc6c5a448fc9a1e55525f91c0071918ba21db9e8fc0e9def8c3b18a103e83a9
58,124.229.255.30,159.126.255.223,sohu.com,550,fa36ee837627d8e1c81700f6489795153aafa76d50fdd7b080a352f7be773007
93,127.227.122.98,183.203.239.68,woothemes.com,304,46f8db5fbade7e20a7d2cc530904b68be68c6137c9d52a992a6093b5eb658585
19,202.174.156.128,60.27.163.89,accuweather.com,147,6a15a6c683234d4af675854c85bff4855a6720b6a2e19e62eb1ff462f1b387dc
4,170.107.178.130,250.186.12.234,squarespace.com,433,13bda7c2ee5bc501b12be9b7e18f076a74c820d1af1d864a11af0c908c844e29
91,78.232.110.113,134.152.100.54,google.com,814,09aa31066fc6d35043be6f0220a23710c70c98ac731e7b7c214aa54d1f79b4bf
47,18.52.69.151,22.168.164.12,nyu.edu,309,c80acee34f000b3df54840a6f29708545e7c830b18c5c5e9d3a70e197d549397
47,30.101.71.81,242.25.15.37,amazon.de,658,5e4107014ee439de5a694ad59b92c95db009a0523d6336f68529f4d41696838d
2,52.126.93.10,181.116.20.26,oracle.com,378,a597c318e0c5e1b5ff2eeeb763d7602fda7fc25824158765deff142705d0afbe
96,34.82.246.153,217.204.185.162,acquirethisname.com,1125,0aac5804bffc67f391af1e72b80c728289bdafbe6b01f8407837082e46e853d6
35,154.238.95.126,193.207.151.183,so-net.ne.jp,1420,8314e53640c999ef3f048195c216dd25001d9f055628e7f95543896a19a998bc
47,142.153.255.127,42.165.157.187,blogs.com,448,dd53498d8a50119435da4d9ecccd951b8d093b9718e124772fdafe6a1bcdeb10
92,89.10.213.7,133.101.54.169,ucoz.ru,488,25d7e412f5aee48ea13d4d870763eb5d6750a27e8413f767ee46e5c019dfcff4
37,233.255.74.141,59.133.94.75,ibm.com,1387,60528f630c462fe0464bd9626b349fa816a5378d1c042bc67f478d0ee46aaf13
45,184.117.35.40,196.66.247.243,parallels.com,1188,5c29807324f689584d7dec861878884598ba8c4afaefb7df8e7a634411f58eb2
1,165.36.175.197,92.66.96.217,yolasite.com,868,ba2885415d9ba1c49ac271fba8a82a187bae6292914882d58b329a0bab0c6477
83,70.182.225.250,151.33.98.5,slate.com,1215,697e48bb073a9ad13af9c50e0064f8c8d1c82c9699f28b34f7f5a1163dbf10b6
76,240.176.242.34,18.100.54.240,newyorker.com,1473,9d2ae1aa1fdeef28fb9efdfc77eccfb6a98210846a8633e3d9af5917f32c3edd
12,80.150.231.181,22.152.102.179,hibu.com,707,a8890a6077d630947d37850327aaea82be44b6d67d9f62e9d924570485186adb
2,150.158.113.151,152.24.200.173,yandex.ru,933,5a362301f6f14c0ae2d2a697cd0d49fbb15f80900522cde5e00205544e6011db
8,189.188.2.148,29.68.230.19,admin.ch,1098,2af04dfa05df5aac1f9365085f4193510e6c3494e80defa1a4c87e8191c59991
99,10.135.91.231,221.83.204.208,ovh.net,360,5b86c40788b52056d0a7bffb2f1bbb9000be4ecf2a58a8b333eafde51c8091ad
29,164.125.168.98,182.236.187.147,sbwire.com,985,cef0605ddb726b4344cb169f2ca5a51d193a2c03b23803cc8aedcafea62211b4
51,212.236.64.9,102.43.197.124,cam.ac.uk,646,74ef92f941fb040a9f64030c1e8d9e31cd31bb6797296c07b295784ae7177de8
32,4.174.230.108,66.202.104.232,huffingtonpost.com,534,5e8ffe59caded539154f7fd76c7663502a0f140e57e79794790f30a2902b4c33
2,46.153.155.7,34.212.145.118,kickstarter.com,424,165ec617b0fe817e2bce85ea9b779ed3e3116099f8698c2f4ea56a0d913ea7d0
58,211.105.27.31,142.210.6.132,netvibes.com,800,d8a44c089ddbd4dd2c81c90bea5de2f3493104150f5ce7557085778712a07eb3
83,91.126.11.30,10.109.31.18,cpanel.net,925,d44cc7db46195848a6b5cc2da95ec3424a97a3da063202b4b1f5fd70fc0907fa
48,141.212.253.41,197.154.137.22,youtube.com,1026,18085fdfef986c9b530822d25e92570f5366a8b2b8cf4ec630ff6a79fbedc314
64,216.120.34.158,162.247.239.167,live.com,252,f3714c0eda3140e3ebb629f88a8e20162881d9fb9b569aa41fdc7d8a2507af22
17,132.89.210.194,44.224.23.166,mlb.com,1283,694a32e7f6b2911550a55f8c681ea77f97674a0bbed740bf0c9213d1716a92a2
81,72.11.124.38,214.124.150.136,typepad.com,886,72ac59ef169f67b1eb31de533d6594283797ba518814322fb563bc0b0290bf99
82,108.60.233.77,181.248.162.99,weibo.com,1463,4841d882778de212fcc7ec3b4c178d935921cfb3426d08129a65fc24c97995d2
52,206.195.238.205,11.76.219.204,quantcast.com,763,8f3010c9ee28ca6c444b0c65400790c07f1b9d59c47fa6cc9cdaf31b85ebabb0
64,124.68.255.0,167.209.154.89,xing.com,398,5562820983c7fd2dcfbddf1cc4970bc9094deda3746651ecfb89557f454f39eb
78,82.243.183.145,120.181.15.161,theglobeandmail.com,452,51b4c388dd2628f2d9f6d45dd2beac25dc4a0134a54f98ff60ef90a38a0e9970
82,212.153.188.63,130.21.232.176,cbc.ca,1128,32fb2a3a274ea76b5b6592cdba2f9d388925f025c35a9791af7508ffcde09be8
100,59.239.236.56,6.70.162.37,fastcompany.com,83,9524386e21a19013273ff68c942923eab7e912305807c897a733d49790df3f86
22,66.146.221.252,226.131.135.95,globo.com,475,6862c306909b03ffb835ad79d1ebaa8c9fef8a23af7b6168eb8780bb64391460
37,228.182.232.222,21.147.69.116,howstuffworks.com,248,6ffa11eb5ef8a2ca75c9ee46552fdfbfc169790cfd3e0fe80110d4c4d3cfeb9d
72,51.46.67.102,235.132.186.98,ox.ac.uk,43,427a79e3d5e7cd4f6da1ecd1283cb00238ee540655f3a5bb8aa2284393dde13b
33,19.61.219.84,77.195.220.86,parallels.com,1478,48f7127b759c5bee23fea05e2ba717d1c8d54c81f654e07983ef0bfe03e612b4
83,180.30.19.223,89.141.251.253,google.nl,207,951eb9ccec10c44685eab9a895ce4035f10944c4add07b9979cdd5ef7e38988c
64,15.62.54.218,167.219.140.247,mapquest.com,314,4b19faef68918cdb63b97b20e1e1acf535ea1ffae106df76c205bf5026acfc1e
67,64.42.67.203,231.104.41.188,hhs.gov,296,21a53f7085d2f0a18ad78fb8e464f53a845e75359a57d1102685fee45f7d0ab0
68,207.171.124.154,248.176.240.191,tripadvisor.com,881,0e97de0d9a2765513a7f6fb919853f803f0d0fe9728b49c90baf8cacaedee08c
8,20.92.65.130,184.112.163.183,joomla.org,991,64fa89cfaa2c0ecf127c5b6d3cbe42fc0e0b5f3cd65c0a61580cae7665c9309c
72,219.118.116.160,38.2.172.191,tripadvisor.com,205,55d7652b25a049159780cff9b6b3a87d2a60cc5f4a4acb28ee095ea5e33ea250
24,213.187.160.248,74.20.150.124,mozilla.org,1125,754bbc07a9226c9b200486cf56375f9c2fbd5566e2dfca3e440503f7f36d5217
60,113.183.204.114,200.205.66.14,guardian.co.uk,1294,94dba840665fac0c9feb8706422ecca8e71724c418a6bc94c1d37e158b238afd
69,73.119.193.150,77.162.103.120,skyrock.com,305,86af8673e1a933b718a38ec0c34bbdb500e6c847b70db0102d7e624c8d5d3162
3,83.191.133.138,210.79.106.155,taobao.com,348,0b725442bce38554a9b7e1522a843635d9f1f531405fc887e8d36218085effa5
70,59.230.210.37,81.96.134.120,blogtalkradio.com,306,b05bc325ff1e9bec2d267fcbc8ea9e7bbc44130c89c66ee299980daec1c38141
39,133.44.188.65,196.237.55.45,upenn.edu,1036,2ce713238b399a96da543b8807afe3ff1a933cf495c52386a844703e7ea33793
38,255.27.134.224,149.109.58.46,hc360.com,1071,de079173f8315c19e1c013031dfc60c652cc4d635f9afd5ec5c84b99782dac76
1,51.67.171.179,174.194.21.249,techcrunch.com,592,a872842550d6b082ba7b33c16526832709d81d4b16b105a86929cde32cbfcfe8
16,87.73.159.211,80.238.29.11,studiopress.com,901,43b2dcabc6fbb1b5b48f3808e57f6e9b7d541a65ec4c0912cf875b49465f8579
46,128.11.143.81,21.212.199.18,aol.com,1520,ae87e99425d1ba5737c90908dbb4f398bbaf77ec0ba40e9ed514a99778b07ad4
23,32.31.14.115,151.118.226.83,google.cn,911,64cc0d3bfd214791a2d7245ea58662ec3117d0d4ef934005655d95f73cd2385a
45,106.68.133.203,246.154.238.12,sun.com,544,3c2efa732905ea7849ac77f12ddca5b8e3096b2399eddf941440948eb6b64781
2,76.132.152.60,19.198.254.170,plala.or.jp,1473,c1e44f739971b34d1a17a82808744f1c1d61319b838539811e2fcd2d17656e3b
8,105.24.156.57,185.112.113.131,alibaba.com,1260,9932d5542e4453b61d7cefafd5ddd52205b773f2532260af9b1c44dbdc440fcb
33,216.129.80.138,49.68.249.24,blogtalkradio.com,122,5d38ffefef1cc1744c4d6d3fe83f3b29ba145a5e963cd79dd94a86d9ca8d0810
22,15.243.12.158,190.230.195.103,mapquest.com,979,3a76052e3c54f31ae073ffe412cb03f31a6e95c42dd154d9cb12bdb6d6c5f496
13,112.103.214.93,102.203.107.1,mapy.cz,1485,acba6b9b8f797ed028520e480d8c71e1e80e2137bbb2752cebf46f340a658d95
8,217.129.95.15,10.37.25.225,soup.io,1238,93b226597a475f62196f488f3cea2f5496d8fe0ee85226e1fb604a5a1d45f492
70,179.213.0.199,245.88.154.178,opera.com,354,bc4334b268536baf4f372d7d954033ec8823d9c7b30cb00bf1ff1406911549b7
31,185.151.253.50,141.28.249.69,reddit.com,97,b36b4fe882c69a42c6146ab314cf7c4afb571049165850bb7d8db9eae84f7a6f
31,103.194.81.100,155.37.223.202,ox.ac.uk,720,ea48cf632f02f4aa714b66de883ee41637fe249724a641ef082805ed630d79f2
69,90.160.150.228,9.127.189.176,godaddy.com,46,6f4cd773734ce7abd267ee4940435c514ae12cb3b85ae3b5bfff64411f667359
9,202.0.31.37,87.72.216.224,drupal.org,515,041badbc7ab9b304be521687b2a5f1b496e32f46693148e8839babed74d9d05d
60,2.175.74.55,136.12.196.133,imdb.com,65,50e091b55886d2b5b574ca20057e7964d18a26bd1d698e10960fb8c91ec163f5
27,222.199.187.72,89.179.98.104,apple.com,1391,ed6eac5eaf06b0960fbeaec9b766e5081fe09ae218e91123c649a07464208221
22,99.123.100.40,105.153.10.196,devhub.com,419,12a72e4d8cc40fbdda75dc96b318c6d61a16443afdadf77d1f8471752ef5e64f
89,146.93.58.158,208.3.228.0,comcast.net,1210,e035aecc6c54dec4b88ff6f9d8ca841d89ae623ea8500a431618023cc241344e
34,1.39.41.194,144.206.224.99,chicagotribune.com,1115,9e8b85cb01ebd540fa89f4d84612d273a822bc138368a605a0f7039f6feddbc9
28,67.57.142.192,185.198.8.116,nsw.gov.au,1037,818482f891ca906deb7ee84100f45a3c9afaac8b1a9c68d5072554f2167e87b2
87,199.111.137.5,72.5.110.124,biblegateway.com,321,ab7e79b7d84bfb836e8d39cbab338bacd83dc21dd6726911bfb69fc4ae3e3df1
94,184.236.136.52,211.134.71.47,cargocollective.com,902,355310e2c6da3832a5b33ee46012b2bde71dfc7ff4c846ba191e31491741a128
31,150.201.50.147,173.73.78.20,amazon.co.uk,55,67d7efbd07dde3b719d19758fc11139e961debf1bacd16ff23429515a946bdcf
2,77.165.210.136,97.104.131.169,loc.gov,508,ddf581629eb06e7792482a8f1c15a1fd266b846281d4d69264c781cf9563b7be
24,233.254.175.207,145.155.93.223,cocolog-nifty.com,1239,9b6796c26de2dcf978faf53bf43d5815cc5156b189b37cf50a38c59f94a36ea5
50,154.223.240.41,225.49.99.194,discuz.net,684,7afa4f70280f6d03d618240dfe3f81dac3f8bd3e1bbdf764b0ab3efb308495b1
60,102.30.82.247,213.126.205.206,ox.ac.uk,1131,1444e9d8e830e84096425b31adcb34fced5d7b4ef6109f1955f6ec8bbe2667f0
2,148.221.135.89,239.22.139.9,networksolutions.com,737,cbf8e05183c790b178cce87a3fb964c7eda18bff36941ca924e61aeed1af685d
18,100.109.124.90,243.70.234.160,miibeian.gov.cn,251,2b946f55eb318e672cc4536f48c1a9d71771b0f1849c381dc08a6a3587b24de3
49,198.74.4.137,201.26.229.157,opera.com,1503,da2ebc3b6e2dfa4d0b819b4fecc1744f8600910a97e2b35e455da492fe9cb29e
52,125.255.73.139,35.209.123.44,apache.org,650,ca27e058ce6eb74094b05dd6a0bca852d587c0e5f5f2abdb8a281620bc1879b2
32,104.36.127.161,50.243.24.77,webeden.co.uk,106,a1ef8b42d9dd7abef847ddb025caca822278bb22b5ab5fab39aa7dd973957ff9
2,201.225.140.218,11.245.174.219,independent.co.uk,123,c1f9389faacf021017ecab32fedc0a34e86a738fe860301c0ad073cc2d7e82b7
27,151.235.145.69,36.40.124.53,macromedia.com,324,c3b4a12ebcfae963c406784e52a1d0039a0522609d145fa93d4041e9f430fa7c
15,116.224.196.189,13.229.240.77,uiuc.edu,1043,3924c010517199729263dab4615b92bdb2f983d78733d61b1d873750344b5b57
99,53.252.39.34,33.30.204.122,cisco.com,1106,96111cca816bf919b70ada962e1c317c470f811ad4ad589d68eadbe41aaf18d0
11,25.63.211.31,185.97.143.65,kickstarter.com,596,98e435fda0bd153fbb72e887447424b618d59fe6214f6cca799f19857ded392a
9,157.43.195.99,110.241.239.208,bing.com,678,ce3542252636679c1bc6116a5afb292581c64e9ec0fe1b911b75900669180d89
29,144.221.148.87,227.138.49.232,wunderground.com,1346,6e654d12e72a7af60495051785984a32789599dedb8a5eb6613a8674ad19196b
46,234.254.125.6,133.196.239.25,weebly.com,877,46c92947cdc88149c9dda724e9d3b1b7c0c34149ae9d940aa3d113732432f167
94,8.154.194.6,143.183.111.88,smh.com.au,527,c672bb0a695792746cf2dcbdccd9c70a17d9497d8663c9ac68381531f61c168e
57,159.188.25.252,64.38.137.125,nbcnews.com,1365,fd6baca5f974838d3be04e31e5de5d91a2cf5e67f278bd99bcabe44e0a0d7d60
47,126.157.19.101,129.198.105.130,usatoday.com,1061,04160a82b54065bbfdb0d30648d4be0f9476527b357524d008c24e49dac4bfce
52,238.89.253.122,97.121.239.244,ameblo.jp,557,9dd6aedf0b59a9170d821f228ac8e038617ca9f79fe559f838c53b9f4c0f73b2
74,160.191.125.3,27.99.161.215,opera.com,286,a6388eb7c03a2ce31af1d1929c71931cd1c65b8536c2dcf273de56086052f766
61,40.233.143.101,60.84.149.177,surveymonkey.com,1220,75519d38afde5c00422d9f87e387c8d8da5dfa77bd73d7b7ae73626999489bfa
51,67.97.78.114,253.66.37.49,oaic.gov.au,816,d79f9861efbaa50b0f4de42542ee99e634be42445fba4aab4a23c75e3a876bd4
75,190.48.75.37,87.180.126.175,youtube.com,1137,e051cbb2db058363300bad588335a8ae226e62f7ac3ab61cf7201a9d5dcec106
36,122.145.55.223,252.12.5.134,wunderground.com,882,6dc968eb6dd5027a34b0bba0cf9b354890713780ca778f72e15a3281d559c1fa
71,88.190.211.239,206.68.182.22,go.com,814,f173bd645244f7a62c66d4ce14d0b4d78b97a8b7015d11a030e3f464a7049b18
90,192.16.167.227,90.11.255.248,webnode.com,430,6bef5036c46347aa202b091aaaeab408bb9db6231a2d298353acd9ade9c627a8
51,96.255.194.40,131.44.203.172,redcross.org,1310,f3acbc2db1092a54d674b47e0336f1ae10bc5c850840b0812c5f6fed03a188f4
15,39.126.244.148,121.30.0.222,opensource.org,306,e3c2d96e46c34e38534e0b92cd10041f554f3314de2f114dad63f8fa20f95737
65,180.63.159.218,99.200.250.25,accuweather.com,452,3d6764eac68c6edaecb1a0ded54eea3187d7c3f59db2b365e5f8e6ef12bf4c6e
11,149.37.239.94,253.61.52.169,netvibes.com,1058,ba8bc04d8e804a4dc6cd6ba986030c4fa015d8c69030d51d1a4ebee5a42c60b1
22,11.148.181.108,36.34.41.147,smh.com.au,1297,750676580e92b4f5f7850c2a1f1404c2f001247b744a4af104b3bdfad511b568
28,26.201.63.188,197.145.167.175,biblegateway.com,130,e608064939ef782da118bbcf0f1fd4bdb0601d125a7c7bce021825caf0a84cdd
29,226.247.93.16,71.187.129.193,usa.gov,377,183fcbae292331d37e6319bb75ad6f4397c34aac956f6b1fcdf7526989367491
55,208.5.198.83,122.37.185.149,howstuffworks.com,1423,32215e6f4376e1395ccc4a6bfc1683ae85d7b585167a08e42c56baa5f962fcc3
55,227.102.219.75,91.240.127.66,psu.edu,452,ab7f6f4c47ce8d219ceda26ac179af629dc2e033141ec5843cfedca226bc5b01
10,211.140.123.188,208.147.108.113,google.co.uk,351,4848f45c1fc388622be8473299f7978c97dad18913b12bf2e64f8ad6f02f5c78
65,147.243.83.143,164.117.23.81,myspace.com,1355,a3703492de7da3cf9e460d0b0adebd401c1b9761b0b306fee83d29882106be4a
77,34.232.175.39,122.179.130.247,livejournal.com,525,f3e338abed5e038a54dd5de4da4aa4c2267b5edd6fc1332a35094418bd724b33
1,221.194.45.173,164.117.230.180,myspace.com,756,c81e0ed24f3862df8cc516caea5a6778927e3643738f0c38b462f9d6d490be39
39,124.87.254.182,228.191.45.161,blogger.com,1168,29c18a8aa27130c5035e2a9c5899f2396ed9a27d995eef194542e4d8051f631a
43,196.244.80.73,25.102.194.184,unesco.org,1217,e1e3d2c8ab5dd29d52d9a4d4c83318a1a8746e6ae1c15aa217f8c0e40c69bbd1
52,100.126.12.166,216.195.97.28,tripod.com,1298,aa1a9f7e0821d592bdb2b89529cdd80a3745537f527ca73604f58b2e59aa0b16
61,14.115.2.51,98.120.223.140,bbc.co.uk,1357,483878e8db3a31705208a3b8798a603756435c7f350b718670eb29a8680c31ae
98,94.184.17.158,75.56.153.155,wp.com,480,49d779e26eba32983829a313b9139ae21234d71e5d4d8602eb7e7173458a4381
62,33.194.135.157,13.41.235.246,scientificamerican.com,1344,b4756ba0f68fc1dcfa0d0559f9b5432c4add0b3d39dd9e9dbc8691b3e5b7805c
62,124.122.33.18,79.67.131.99,guardian.co.uk,189,046b069175cccbcdd74c96e7da14122573f5bbb4798137bde637b918b41e4f52
58,45.24.223.140,114.56.73.218,clickbank.net,1369,a7a5d150e6dd16db144760c40528965b411e90a3675108779f16e0b8ec81a793
64,213.153.2.138,61.143.237.44,bigcartel.com,847,4962609745caa343436a41d26016bb1dbcaf4a208636581c44b6404c28526145
93,199.111.41.37,185.171.139.56,mlb.com,969,0aed1552b93740785106c7a094df3d882a462e111701cdb0f4ab487656ea1f00
83,136.142.31.153,50.153.121.235,state.gov,660,0edabe5386535c3ad1acc1adc49c130a11721a9a135154257dfe6041e957321f
67,190.25.37.34,248.228.233.209,blogs.com,1145,f152fdcf88dc90b7ec3f22e4eefe4c62549b0d9e0ca419d762be1c5b4e10ac50
44,106.198.65.157,147.167.178.136,yahoo.co.jp,796,812cb120670a5395e3ec2c806e4d5816ea073c66895f31b82eb43225a0659df7
5,73.69.214.223,145.168.110.69,friendfeed.com,580,6f4b81d4c0e8ac42bb3fdd343d0c75008e852d6b03514d2e8d3baa3b0fc8d1d7
36,176.202.44.162,251.96.20.242,ucla.edu,827,530d363ca1896a68b20b0e08dfefe25404215e2411945f96a84d64e7368b8927
71,32.26.251.17,252.254.127.108,istockphoto.com,817,3c666e99e142265ff771fe6471edd7b02f1b50cb5a555a7eea9e1d19c4a00e70
35,104.90.131.188,57.254.90.153,diigo.com,718,d74d7c3ed59c5641149660e4003de2be31333e3607f801859e51fc0267033c1c
36,3.130.65.105,162.242.60.167,gizmodo.com,1513,635eb766f7bb19222d49936974c6a26cc68057519901eb0d3051b5566285f661
51,213.26.129.184,133.100.160.101,nps.gov,1233,335bc44d96e5ee6d5b07c37c9eeb1e333a2fe4536a8494b883e7a2868d197895
72,100.226.102.75,252.158.131.69,apple.com,1385,5204bbe720b47dfbe98fc6fa61443b86111fa040d3e7874b687d303de7309c0d
22,213.198.98.183,101.31.86.77,unesco.org,914,6c6ee0a5d29bca9f2b55f9df57e5fd9e285d437fa8df2fa86c9fde789f993ebc
67,89.150.229.168,204.229.126.96,ihg.com,834,bb8c0db4f46c2bb6a51610234139d43ab955f122eb175c7be56ab7b8a2abc459
51,1.28.230.21,52.26.195.93,yandex.ru,1208,18698d2ba4575382e61c18d50ea4526124523c8cdeacc68e7d828d285688c0ce
60,86.168.116.175,163.212.127.44,smugmug.com,45,fcb382e8a98e755cb0a62db4cb952a2c4155ba8fccce4dd32d1b4bc7768d86e1
82,159.15.145.160,6.58.157.104,house.gov,364,b08eb7898c6f0a1298f997534ecf496f5775e0aefd7a3e58ae9cca7a871cd858
47,98.182.149.158,221.164.11.49,nps.gov,1477,fc4ad099f08b7093fd9f28291482a755ac480ff561ceca50373beace5580d80c
63,184.136.161.69,33.47.44.240,t.co,1370,0cd9a60015db5894fb6e32ab88d875dcc2006c60b47bb86df8d8bb0b62d7783b
38,140.167.192.110,25.182.182.203,cnn.com,690,7ea31e32b18cbc0572dee959141582d0cc258914fa1d8905e9255b796d0d9f03
27,129.224.245.221,29.223.150.72,nba.com,1186,10fd62f13e2af6f61abcd79fa0b91921ff0b13730f9a904785f28bc70a1168d6
27,66.134.254.181,189.32.119.112,dedecms.com,981,1041fd6be6374403d2935b60e8bd6f2c0d5e68352d35658b51b8ffdb3872d9d9
57,197.179.140.102,90.134.124.89,bbb.org,986,15c25f18ead5346d527665a0857baa1b8ec28a541335f1e82889ad63cbb981c6
55,7.105.159.223,170.27.10.248,mayoclinic.com,1217,4a3ee63ef7b5081bd795ea0b116db9c278c8db1cd2021f1f6f062e409e174704
28,111.62.107.170,205.192.181.196,drupal.org,381,0187de9b6342e0559961e26bf8aa7053e0804fc9ebd2a3040bc0a656f45b3f10
8,51.224.141.87,193.238.206.30,drupal.org,1166,ad2dedc7d2a503a54b886809e9be46535f892938bc39d7a3fc1865dafdce7446
5,213.203.81.224,21.48.175.254,skype.com,1295,610d29180891cc234db9585c04b7fe15eaa2584c0bb11d9491718e85ffe2de4f
25,168.166.66.130,135.91.34.215,pbs.org,402,01a2b6d3e5091642ab5689e625a4d97aee19122cb26370d6e5564321df8689db
22,1.88.123.221,128.164.190.201,bizjournals.com,208,e493001ccec0d66d19aef30f00492c91164e1756fc152fef60dbbd223eb2d596
42,26.199.154.25,42.93.19.89,clickbank.net,551,65ff3807e6cd80dc64758e5dde7dc8af064fc8a3ad2767baeabf57d9408ee625
34,135.123.123.55,82.65.215.165,mayoclinic.com,1444,0926bb30b09664ea59a70f6be02b494ffb120d993ac0992cb7b19aae942a312f
35,245.110.143.104,181.9.122.61,canalblog.com,656,93de102a5c7ab1c36a67f3a6536e865514739189724e4b694201d360f7c230f5
100,250.105.70.18,247.72.165.47,mayoclinic.com,1431,ecc3f0bd713699813fe333b3a3494c6b4077de5a974f0a2879910f75daf6a0b1
18,114.64.110.5,177.35.109.78,hc360.com,563,4b86e48429538dbbd730c1baf541bfce3657fcad0bfb448b8f39481f6591da7e
97,204.2.187.228,171.206.55.202,quantcast.com,1009,6eb9a0bd1a6865aa656f9ec4a58596e25cf9b9fa2b8ec51ac044b157bdf7fbe7
15,252.253.51.84,65.248.12.131,free.fr,813,10347f1bb90f2d9220a31f5cd4955708b652fa2aef578e71df925c69dd92c063
1,216.239.225.75,82.35.15.106,berkeley.edu,474,4ceced546ef03f762f58efad7f5da6f0b0c8612008d5ce096bdfc1f9e1319258
93,208.55.45.163,184.10.80.70,dailymail.co.uk,1320,84919c41cce1f7e861f29b1c72a60abe964ccf44063f1829b9d4bc7a4de18b4d
60,173.128.132.135,203.204.128.245,squidoo.com,364,b1e0be9ef24e151dde31b0306d2a7905261c7a1ec7a20e5ccfee25a3efbb079b
17,118.248.171.35,201.118.202.154,a8.net,816,1dfb26c9e3c7f5d9dcaa3c00124776c368cc58f7c0585fb1fad16e47a53acee4
49,79.181.96.72,164.6.70.24,cnn.com,397,dfe9cb8f8aa51be738f38a69dad0f1f0ed24098da5375fbd536151c8a4be7a48
12,183.113.87.204,50.183.156.41,buzzfeed.com,1265,aa9ddb053516c6f4684c840832be6431e43fe443b20eff73492a6a8715b4a95f
98,9.64.127.235,53.32.67.191,macromedia.com,230,e9f4e6415af8f821cbd95488cb9b165555064d4673d04109a11a01a0435b4091
23,129.215.74.48,240.85.49.90,over-blog.com,516,c6aaca1a8319ae03d00ac23d8955aa5cd7a13787225be8b9be3c58e8c42f1838
31,64.111.245.181,91.182.236.252,comcast.net,164,f1bdd9b54fa1a7ba757ccf9453d85d4c13c18b86de96e14bc13f57e636022d29
24,194.78.48.45,233.187.196.231,vimeo.com,314,f71fbc8ea34157cdb15e2f0f2ace3b766e2cccabcbb1757c707f0885b8ca2034
21,60.218.85.215,49.187.28.84,51.la,999,21e365a3ce381dca9f735058fcd1a2275b1b761d21ced4e527fb52290510d3f8
27,171.191.220.106,105.197.135.19,nationalgeographic.com,782,e7f8ccb98799b9669c7ec0fa7fdf71038a5bb0b253c649a2e0f0365bc602c77f
38,108.84.187.232,91.202.182.142,google.co.uk,1366,2021bf9d9ba3aa9989b1b0c578577151350438f9c9d0385da3606bd42a6784f4
32,99.150.181.205,160.107.1.186,accuweather.com,1293,745b6e348cc648c6ff7a00b1ef3ec81a1dec2a4cbe76d2ada1bb30af3add971c
68,82.226.90.146,36.60.219.132,oakley.com,678,d4aa30a341c213a17fcc4a58b2a8921bcd87a0acb32abd20e6888c7e7f408d0b
22,168.32.33.206,1.109.128.78,merriam-webster.com,1016,40ace05ccd072be3880852204bd2158bc550ba868685de6ced81c7ab2194dda1
19,160.68.159.37,143.123.205.47,tmall.com,713,859e7481690816bfe57559ed47c98b2b02b09b8687ea39f7f260d683e719d392
78,136.130.179.160,106.240.224.122,wsj.com,241,18a9fcc056b7fa103ab77eb3f93c776fb0bac5123b02c0549cda11fcccd6add9
85,126.20.113.161,34.216.168.167,printfriendly.com,997,6dd4127fa00ea15d8b16b1d62a203458df27840f5fc3c4b8b7b14c6de6b11acc
87,92.244.64.144,52.131.200.231,washington.edu,788,9b8f64a6924e42f3d86ca14986d4875584db19d1757b52cd9199ba675ed08dad
98,238.36.8.59,240.45.145.163,answers.com,754,1c7a8433fe1f84efa101c451a5fef2e337c0c649dccf8ba95b6cb0a7758eb191
14,82.200.224.180,130.202.110.156,usatoday.com,1003,68e5e1fdfff0dcc32339a94b412a85b916cfe6a32d34e17537fa040b94de808a
67,182.231.248.88,6.164.33.51,noaa.gov,185,019319650747d8bc6841e3e583c16c3e78b6f8b6c59548db20fab5953926c52c
71,121.6.152.36,106.186.162.14,oaic.gov.au,1325,a644d27a7a945e3fdc79cd212775e061a927d73f0c1c67651f56d0ff05cb8a9a
59,105.183.116.118,135.179.198.76,taobao.com,178,b7bbe1522068662ae70ca71671c0d5fd60feac86187cc197bfe266db86588170
25,93.110.70.104,1.205.4.85,wikia.com,863,341f576e2b4144117a9188250204e4356508411b5b1af740583e65a433af36b0
87,88.57.120.8,117.187.130.120,unblog.fr,1375,b0067b2a5628203e16d16a20653eed13d91b32a4d41dc71ac2ef71e2eff21ccb
